variant,case,trial,exit_status,mte_fault,fault_kind,fault_si_code,unexpected_sigsegv,expected_mte_fault,pass
baseline,normal,1,0,0,none,NA,0,0,1
protected,normal,1,0,0,none,NA,0,0,1
baseline,heap-oob,1,0,0,none,NA,0,0,1
protected,heap-oob,1,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,2,0,0,none,NA,0,0,1
protected,heap-oob,2,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,3,0,0,none,NA,0,0,1
protected,heap-oob,3,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,4,0,0,none,NA,0,0,1
protected,heap-oob,4,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,5,0,0,none,NA,0,0,1
protected,heap-oob,5,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,6,0,0,none,NA,0,0,1
protected,heap-oob,6,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,7,0,0,none,NA,0,0,1
protected,heap-oob,7,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,8,0,0,none,NA,0,0,1
protected,heap-oob,8,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,9,0,0,none,NA,0,0,1
protected,heap-oob,9,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,10,0,0,none,NA,0,0,1
protected,heap-oob,10,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,11,0,0,none,NA,0,0,1
protected,heap-oob,11,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,12,0,0,none,NA,0,0,1
protected,heap-oob,12,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,13,0,0,none,NA,0,0,1
protected,heap-oob,13,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,14,0,0,none,NA,0,0,1
protected,heap-oob,14,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,15,0,0,none,NA,0,0,1
protected,heap-oob,15,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,16,0,0,none,NA,0,0,1
protected,heap-oob,16,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,17,0,0,none,NA,0,0,1
protected,heap-oob,17,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,18,0,0,none,NA,0,0,1
protected,heap-oob,18,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,19,0,0,none,NA,0,0,1
protected,heap-oob,19,139,1,SEGV_MTEAERR,8,0,1,1
baseline,heap-oob,20,0,0,none,NA,0,0,1
protected,heap-oob,20,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,1,0,0,none,NA,0,0,1
protected,stack-oob,1,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,2,0,0,none,NA,0,0,1
protected,stack-oob,2,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,3,0,0,none,NA,0,0,1
protected,stack-oob,3,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,4,0,0,none,NA,0,0,1
protected,stack-oob,4,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,5,0,0,none,NA,0,0,1
protected,stack-oob,5,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,6,0,0,none,NA,0,0,1
protected,stack-oob,6,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,7,0,0,none,NA,0,0,1
protected,stack-oob,7,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,8,0,0,none,NA,0,0,1
protected,stack-oob,8,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,9,0,0,none,NA,0,0,1
protected,stack-oob,9,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,10,0,0,none,NA,0,0,1
protected,stack-oob,10,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,11,0,0,none,NA,0,0,1
protected,stack-oob,11,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,12,0,0,none,NA,0,0,1
protected,stack-oob,12,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,13,0,0,none,NA,0,0,1
protected,stack-oob,13,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,14,0,0,none,NA,0,0,1
protected,stack-oob,14,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,15,0,0,none,NA,0,0,1
protected,stack-oob,15,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,16,0,0,none,NA,0,0,1
protected,stack-oob,16,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,17,0,0,none,NA,0,0,1
protected,stack-oob,17,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,18,0,0,none,NA,0,0,1
protected,stack-oob,18,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,19,0,0,none,NA,0,0,1
protected,stack-oob,19,139,1,SEGV_MTEAERR,8,0,1,1
baseline,stack-oob,20,0,0,none,NA,0,0,1
protected,stack-oob,20,139,1,SEGV_MTEAERR,8,0,1,1
