adduser	3.153ubuntu1
adwaita-icon-theme	50.0-1
alsa-topology-conf	1.2.5.1-3build1
alsa-ucm-conf	1.2.15.3-1ubuntu1.5
apparmor	5.0.0~beta1-0ubuntu7
apport	2.34.0-0ubuntu2
apport-core-dump-handler	2.34.0-0ubuntu2
apport-symptoms	0.25build1
appstream	1.1.2-1
apt	3.2.0
at-spi2-common	2.60.0-1
at-spi2-core	2.60.0-1
autoconf	2.72-3.1ubuntu2
automake	1:1.18.1-3build1
autotools-dev	20240727.1build1
base-files	14ubuntu6
base-passwd	3.6.8
bash	5.3-2ubuntu1
bash-completion	1:2.16.0-8build1
bc	1.07.1-4build1
binutils	2.46-3ubuntu2
binutils-aarch64-linux-gnu	2.46-3ubuntu2
binutils-common:amd64	2.46-3ubuntu2
binutils-x86-64-linux-gnu	2.46-3ubuntu2
bison	2:3.8.2+dfsg-1build4
bsdextrautils	2.41.3-3ubuntu2
bsdutils	1:2.41.3-3ubuntu2
bubblewrap	0.11.1-1ubuntu0.1
build-essential	12.12ubuntu2.26.04.2
byobu	6.11-0ubuntu3
bzip2	1.0.8-6build2
ca-certificates	20260601~26.04.1
checksec	2.6.0-2build1
chrony	4.8-2ubuntu1
clang	1:21.1.6-71
clang-21	1:21.1.8-6ubuntu1
clang-tools-21	1:21.1.8-6ubuntu1
cloud-guest-utils	0.33-1build1
cloud-image-utils	0.33-1build1
cloud-init	26.1-0ubuntu2
cloud-init-base	26.1-0ubuntu2
cmake	4.2.3-2ubuntu2
cmake-data	4.2.3-2ubuntu2
command-not-found	23.04.0build1
console-setup	1.237ubuntu3
console-setup-linux	1.237ubuntu3
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25
coreutils-from-uutils	0.0.0~ubuntu25
cpio	2.15+dfsg-2.1
cpp	4:15.2.0-5ubuntu1
cpp-15	15.2.0-16ubuntu1
cpp-15-aarch64-linux-gnu	15.2.0-16ubuntu1cross1
cpp-15-x86-64-linux-gnu	15.2.0-16ubuntu1
cpp-aarch64-linux-gnu	4:15.2.0-5ubuntu1
cpp-x86-64-linux-gnu	4:15.2.0-5ubuntu1
cron	3.0pl1-200ubuntu1
cron-daemon-common	3.0pl1-200ubuntu1
curl	8.18.0-1ubuntu2.3
dash	0.5.12-12ubuntu3
dbus	1.16.2-2ubuntu4
dbus-bin	1.16.2-2ubuntu4
dbus-daemon	1.16.2-2ubuntu4
dbus-session-bus-common	1.16.2-2ubuntu4
dbus-system-bus-common	1.16.2-2ubuntu4
dbus-user-session	1.16.2-2ubuntu4
dbus-x11	1.16.2-2ubuntu4
dconf-gsettings-backend:amd64	0.49.0-4
dconf-service	0.49.0-4
debconf	1.5.92
debconf-i18n	1.5.92
debianutils	5.23.2build1
device-tree-compiler	1.7.2-2ubuntu1
dhcpcd-base	1:10.3.0-7
diffutils	1:3.12-1
dirmngr	2.4.8-4ubuntu3
distro-info	1.15
distro-info-data	0.68ubuntu0.1
dmsetup	2:1.02.205-2ubuntu3
dpkg	1.23.7ubuntu1
dpkg-dev	1.23.7ubuntu1
dwarves	1.31-2ubuntu1
e2fsprogs	1.47.2-3ubuntu4
eatmydata	131-2build1
ed	1.22.4-1
eject	2.41.3-3ubuntu2
ethtool	1:6.19-1
fakeroot	1.37.2-1
fdisk	2.41.3-3ubuntu2
file	1:5.46-5build2
findutils	4.10.0-3build2
flex	2.6.4-8.2build2
fontconfig	2.17.1-3ubuntu1
fontconfig-config	2.17.1-3ubuntu1
fonts-dejavu-core	2.37-8build1
fonts-dejavu-mono	2.37-8build1
fonts-ubuntu	0.869+git20240321-0ubuntu2
fuse3	3.18.2-1
g++	4:15.2.0-5ubuntu1
g++-15	15.2.0-16ubuntu1
g++-15-aarch64-linux-gnu	15.2.0-16ubuntu1cross1
g++-15-x86-64-linux-gnu	15.2.0-16ubuntu1
g++-aarch64-linux-gnu	4:15.2.0-5ubuntu1
g++-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gawk	1:5.3.2-1ubuntu1
gcc	4:15.2.0-5ubuntu1
gcc-15	15.2.0-16ubuntu1
gcc-15-aarch64-linux-gnu	15.2.0-16ubuntu1cross1
gcc-15-aarch64-linux-gnu-base:amd64	15.2.0-16ubuntu1cross1
gcc-15-base:amd64	15.2.0-16ubuntu1
gcc-15-cross-base	15.2.0-16ubuntu1cross1
gcc-15-x86-64-linux-gnu	15.2.0-16ubuntu1
gcc-16-base:amd64	16-20260322-1ubuntu1
gcc-16-cross-base	16-20260322-1ubuntu1cross1
gcc-aarch64-linux-gnu	4:15.2.0-5ubuntu1
gcc-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gdb	17.1-2ubuntu1
gdbserver	17.1-2ubuntu1
gdisk	1.0.10-2build1
genisoimage	9:1.1.11-5
gettext-base	0.23.2-1
gir1.2-girepository-3.0:amd64	2.88.0-1
gir1.2-glib-2.0:amd64	2.88.0-1
gir1.2-packagekitglib-1.0	1.3.4-3ubuntu1
git	1:2.53.0-1ubuntu1
git-man	1:2.53.0-1ubuntu1
glib-networking:amd64	2.80.1-1build2
glib-networking-common	2.80.1-1build2
glib-networking-services	2.80.1-1build2
glycin-loaders	2.1.1+ds-0ubuntu1
glycin-thumbnailers	2.1.1+ds-0ubuntu1
gnu-coreutils	9.7-3ubuntu2
gnupg	2.4.8-4ubuntu3
gnupg-l10n	2.4.8-4ubuntu3
gnupg-utils	2.4.8-4ubuntu3
gpg	2.4.8-4ubuntu3
gpg-agent	2.4.8-4ubuntu3
gpg-wks-client	2.4.8-4ubuntu3
gpgconf	2.4.8-4ubuntu3
gpgsm	2.4.8-4ubuntu3
gpgv	2.4.8-4ubuntu3
grep	3.12-1
groff-base	1.23.0-10
gsettings-desktop-schemas	50.0-1ubuntu2
gstreamer1.0-plugins-base:amd64	1.28.2-1
gstreamer1.0-plugins-good:amd64	1.28.2-2ubuntu0.1
gstreamer1.0-x:amd64	1.28.2-1
gtk-update-icon-cache	4.22.2+ds-1ubuntu1
gzip	1.14-1~exp2ubuntu1
hicolor-icon-theme	0.18-2build1
hostname	3.25build1
ibus-gtk3:amd64	1.5.34~rc2-1
ibverbs-providers:amd64	61.0-2ubuntu3
info	7.2-5ubuntu2
init	1.69
init-system-helpers	1.69
install-info	7.2-5ubuntu2
iproute2	6.19.0-1ubuntu1
iputils-ping	3:20250605-1ubuntu1
ipxe-qemu	1.21.1+git-20250829.969ce2c55+dfsg-3ubuntu2
ipxe-qemu-256k-compat-efi-roms	1.0.0+git-20150424.a25a16d-0ubuntu7
iso-codes	4.20.1-1
jq	1.8.1-4ubuntu2
kbd	2.7.1-2ubuntu2
keyboard-configuration	1.237ubuntu3
kmod	34.2-2ubuntu2
krb5-locales	1.22.1-2ubuntu4
landscape-client	26.02.2-0ubuntu1
landscape-common	26.02.2-0ubuntu1
less	668-1build1
libaa1:amd64	1.4p5-51.1build1
libacl1:amd64	2.3.2-2
libaio1t64:amd64	0.3.113-8build1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libaom3:amd64	3.13.1-2
libapparmor1:amd64	5.0.0~beta1-0ubuntu7
libappstream5:amd64	1.1.2-1
libapt-pkg7.0:amd64	3.2.0
libarchive13t64:amd64	3.8.5-1ubuntu2.1
libasan8:amd64	16-20260322-1ubuntu1
libasan8-arm64-cross	16-20260322-1ubuntu1cross1
libasound2-data	1.2.15.3-1ubuntu1.1
libasound2t64:amd64	1.2.15.3-1ubuntu1.1
libassuan9:amd64	3.0.2-2build1
libasyncns0:amd64	0.8-7
libatk-bridge2.0-0t64:amd64	2.60.0-1
libatk1.0-0t64:amd64	2.60.0-1
libatomic1:amd64	16-20260322-1ubuntu1
libatomic1-arm64-cross	16-20260322-1ubuntu1cross1
libatspi2.0-0t64:amd64	2.60.0-1
